Locus	Size	NumTags	ModeSizeNumTags
14061	310	5	5
14291	8	37	19
14312	694	2	2
15005	132	15	11
22947	191	75	75
22950	188	7	7
22952	186	64	63
22954	184	130	129
22956	182	366	363
22957	181	2	2
22958	180	32	32
79303	131	3	3
79304	130	2	2
79305	129	14	14
79306	128	2706	2670
79307	127	5	5
79429	315	4	4
79430	314	470	456
108221	21	2	2
164556	21	3	3
284890	29	2	2
352735	22	5	5
384485	266	177	175
391452	22	23	23
396350	44	2	2
396357	42	3	3
396374	25	3	3
396375	24	2	2
512366	226	188	186
513047	111	2	2
552781	385	20	19
553162	263	8	8
559200	322	2	2
559202	320	378	375
559516	146	5	5
559517	145	11	11
559518	144	2902	2871
559519	143	11	11
567865	67	2	2
624878	277	13	11
721933	310	511	511
758869	498957	3	3
758870	231	21	19
781815	177	22	13
816046	50	8	4
816047	49	472	389
816048	48	5	4
816584	30	4	2
822012	4	80	76
830237	186	3	3
830238	185	4	3
830239	184	1767	1752
830240	183	4	4
842531	320	35	31
918912	482922	3	3
934654	135	26	24
939601	213	2	2
939810	158	33	24
963967	406679	2	2
964807	476	2	2
965116	167	591	583
965186	406357	14	14
965187	406357	4	2
965189	406357	3	3
965216	67	326	318
969620	22	3	3
1006222	51	5	4
1006223	50	14	7
1006224	49	702	681
1006225	48	3	2
1007771	33	10	10
1051078	27	18	18
1055846	145	21	21
1055894	651316	2	2
1083717	31	48	45
1084692	427	8	8
1086142	226	2	2
1250494	22	283	283
1250495	21	10	10
1250496	20	7	7
1257597	229	1133	1091
1257598	228	2	2
1286703	50	2	2
1286704	49	461	386
1286705	48	2	2
1287362	30	5	5
1295381	91	4	4
1307255	156	16	15
1308035	123	10	10
1318471	81	57	57
1328148	176	95	94
1331223	376	6	6
1334166	152	124	121
1334170	148	3	3
1334173	145	2	2
1336097	115	2	2
1339652	313	58	37
1339961	167	412	405
1340031	31512	10	10
1340033	31512	2	2
1349577	127	2	2
1371638	333	223	185
1371967	167	19	19
1372067	67	2	2
1401870	277	3	3
1426718	24	7	7
1426719	23	6	6
1426720	22	16	15
1426721	21	5	5
1426722	20	2	2
1439913	101567	7	7
1443824	223	138	137
1541339	182	3	2
1576670	49	3	3
1613930	130	10	10
1614347	115	20	14
1621661	210	22	22
1621677	194	3	3
1642120	39	61	49
1648780	51	3	3
1648781	50	9	9
1648782	49	658	647
1648783	48	4	4
1650326	33	16	16
1656745	116	2	2
1680572	340	78	78
1702471	27	11	11
1707305	147	2	2
1707306	146	1465	1445
1721390	20	10	9
1725210	449	12	11
1788442	422	6	6
1788859	3428237	2	2
1788939	40	8	8
1802019	95	2	2
1802020	94	64	63
1817448	28	8	8
1850287	33	2	2
1850290	30	586	570
1853933	164	15	15
1853935	162	4	4
1890432	42	3	3
1918382	82	167	165
2049662	163	2	2
2049664	161	1022	1013
2049665	160	3	2
2049668	157	14	13
2049821	67	2	2
2053397	28	3	3
2053404	21	2	2
2086716	20	296	295
2086717	19	2	2
2174955	350	10	10
2200501	20	3	2
2235312	20	5	5
2254029	20	3	3
2278003	20	3	3
2412732	19	41	41
2474061	248	6	6
2502978	326	10	10
2517055	101	2	2
2520247	215	47	44
2532264	148	2	2
2538572	249	6	6
2541018	26	5	5
2565824	35	61	55
2586601	277	211	210
2586602	276	2	2
2586604	274	17	17
2586667	211	62	62
2588847	215	69	69
2591581	370	53	49
2602302	179	3	2
2609663	43	21	20
2609702	23	172	170
2614102	207	29	29
2629543	32	37	34
2629553	22	4	4
2646805	293	20	19
2647565	341	37	27
2647567	339	4	4
2647578	328	3	3
2647592	314	7	7
2647631	275	5	5
2649264	138	68	66
2655222	178	2	2
2658951	346	30	29
2680576	160	2	2
2680577	159	236	181
2680586	150	271	260
2680593	143	196	190
